token	freq	candidates	local_verdict	local_value	sonnet_verdict	sonnet_value	agree
assoon	22	bassoon,sassoon	GARBAGE		GARBAGE		Y
annuni	22	annuli	FIX	annuli	GARBAGE		N
slature	22	stature	FIX	stature	FIX	legislature	Y
poundkeepers	22		KEEP	poundkeepers	KEEP	poundkeepers	Y
tioner	22	toner,tinner	GARBAGE		FIX	petitioner	N
hourd	22	hours,hour	FIX	hours	FIX	hour	Y
accumu	22	accuse	FIX	accuse	FIX	accumulate	Y
huichica	22		NAME	Huichica	NAME	Huichica	Y
tillermen	22		KEEP	tillermen	KEEP	tillermen	Y
taxley	22	talley	FIX	talley	NAME	Taxley	N
heisinger	22	feininger	NAME	Heisinger	NAME	Heisinger	Y
prelimi	22	prelims	FIX	prelims	FIX	preliminary	Y
pizzutello	22		NAME	Pizzutello	NAME	Pizzutello	Y
erypt	22	crypt,egypt	FIX	crypt	FIX	crypt	Y
seald	22	seal,sealed	FIX	sealed	FIX	sealed	Y
tuffree	22	toffee,unfree	GARBAGE		GARBAGE		Y
craprer	22	crapper	FIX	crapper	GARBAGE		N
tvne	22	tine,tune	FIX	tune	FIX	type	Y
mvolving	22	evolving	FIX	evolving	FIX	involving	Y
isonipecaine	22		NAME	isonipecaine	KEEP	isonipecaine	N
subcounty	22		GARBAGE		KEEP	subcounty	N
cusanovich	22		NAME	cusanovich	NAME	Cusanovich	Y
ceeeeeeeeeee	22		GARBAGE		GARBAGE		Y
foothill-deanza	22		NAME	foothill-deanza	NAME	Foothill-DeAnza	Y
zoveinot	22		NAME	zoveinot	GARBAGE		N
chetcuti	22		NAME	chetcuti	NAME	Chetcuti	Y
rapozo	22	rebozo	FIX	rebozo	NAME	Rapozo	N
alphaprodine	22		NAME	alphaprodine	KEEP	alphaprodine	N
dextrorphan	22		NAME	dextrorphan	KEEP	dextrorphan	N
lowincome	22	downcome	FIX	downcome	FIX	low-income	Y
nonstakes	22		GARBAGE		KEEP	nonstakes	N
felando	22	fernando,leland	NAME	fernando	NAME	Felando	Y
nonamortized	22		NAME	nonamortized	KEEP	nonamortized	N
eecee	21	emcee	FIX	emcee	GARBAGE		N
tracted	21	traced,tracked	FIX	traced	FIX	contracted	Y
fendant	21	pendant,fondant	FIX	pendant	FIX	defendant	Y
seeees	21	series,serves	FIX	series	GARBAGE		N
xiil	21	bill,will	FIX	bill	FIX	bill	Y
gompensa	21	gompers	NAME	gompers	FIX	compensation	N
szorton	21	shorten,norton	NAME	szorton	NAME	Szorton	Y
tering	21	tearing,turing	FIX	tearing	FIX	entering	Y
eightytwo	21		KEEP	eightytwo	KEEP	eightytwo	Y
comy	21	copy,com	FIX	copy	FIX	copy	Y
terrns	21	terns	GARBAGE		FIX	terms	N
yood	21	food,good	FIX	good	FIX	good	Y
crection	21	creation,erection	FIX	creation	FIX	erection	Y
vated	21	voted,dated	FIX	voted	FIX	voted	Y
woder	21	wider,wader	GARBAGE		FIX	wider	N
ployés	21	ploys	GARBAGE		GARBAGE		Y
behool	21	behoof,befool	GARBAGE		FIX	behoof	N
ccccceeee	21		GARBAGE		GARBAGE		Y
arnum	21	barnum,arum	GARBAGE		NAME	Barnum	N
approprla	21		GARBAGE		GARBAGE		Y
parls	21	parks,parts	FIX	parts	FIX	parks	Y
anyeles	21	aneles	NAME	anyeles	NAME	Angeles	Y
islative	21	illative,isolative	FIX	islative	FIX	legislative	Y
beneht	21	benet	GARBAGE		FIX	benefit	N
ioint	21	joint,point	FIX	joint	FIX	joint	Y
cahtornia	21		NAME	cahtornia	NAME	California	Y
onetenth	21		KEEP	onetenth	KEEP	onetenth	Y
eome	21	home,some	FIX	home	FIX	come	Y
teeta	21	teeth,testa	FIX	teeth	GARBAGE		N
ficate	21	fichte,fixate	GARBAGE		FIX	certificate	N
notwithstand	21		GARBAGE		FIX	notwithstanding	N
nses	21	uses,ness	FIX	uses	FIX	senses	Y
bitect	21	bisect	FIX	bisect	FIX	architect	Y
ained	21	mined,fined	GARBAGE		FIX	obtained	N
urgenev	21	turgenev	FIX	turgenev	NAME	Turgenev	N
msurers	21	usurers	FIX	usurers	FIX	insurers	Y
dinary	21	diary,binary	FIX	binary	FIX	ordinary	Y
cuaprerr	21		GARBAGE		GARBAGE		Y
vouth	21	south,youth	FIX	youth	FIX	youth	Y
hicle	21	chicle	GARBAGE		FIX	vehicle	N
mudsuckers	21		GARBAGE		KEEP	mudsuckers	N
eeeeeeeeeeeees	21		GARBAGE		GARBAGE		Y
nonovertime	21		GARBAGE		KEEP	nonovertime	N
asacondition	21		GARBAGE		FIX	as a condition	N
batiquitos	21		NAME	batiquitos	NAME	Batiquitos	Y
preimprisonment	21		GARBAGE		KEEP	preimprisonment	N
nonelderly	21		GARBAGE		KEEP	nonelderly	N
hsted	21	hosted,hated	FIX	hosted	FIX	listed	Y
metazocine	21		GARBAGE		KEEP	metazocine	N
cytotechnologists	21		GARBAGE		KEEP	cytotechnologists	N
elijo	21	eli,lino	NAME	elijo	NAME	Elijo	Y
eeeeneeee	21		GARBAGE		GARBAGE		Y
nonformulary	21		GARBAGE		KEEP	nonformulary	N
nondepositary	21		GARBAGE		KEEP	nondepositary	N
dextropropoxyphene	21		GARBAGE		KEEP	dextropropoxyphene	N
unty	20	unto,unity	FIX	unto	FIX	county	Y
eserves	20	reserves,serves	FIX	reserves	FIX	reserves	Y
srorton	20	shorten,norton	NAME	srorton	NAME	Norton	Y
viously	20	piously,vinously	GARBAGE		FIX	previously	N
veyed	20	keyed,eyed	FIX	keyed	FIX	conveyed	Y
seorton	20	shorten,norton	NAME	Norton	NAME	Norton	Y
ereeee	20	renee,greene	GARBAGE		GARBAGE		Y
scce	20	syce	GARBAGE		GARBAGE		Y
cxxix	20	calix,cylix	GARBAGE		KEEP	cxxix	N
clvi	20	clavi	FIX	clavi	KEEP	clvi	N
twenty-fivo	20		FIX	twenty-five	FIX	twenty-five	Y
taxen	20	taxes,taken	FIX	taxes	FIX	taken	Y
eenees	20	renee,levees	GARBAGE		GARBAGE		Y
thereun	20	therein,thereon	FIX	therein	FIX	thereon	Y
erented	20	erected,rented	FIX	erected	FIX	erected	Y
ovory	20	ivory,ovary	FIX	ivory	FIX	ivory	Y
atrect	20	street,direct	FIX	street	FIX	direct	Y
ency	20	envy	GARBAGE		FIX	agency	N
mocting	20	mocking,mooting	FIX	mocking	FIX	meeting	Y
paicl	20	pail	FIX	pail	FIX	paid	Y
fature	20	nature,future	FIX	nature	FIX	nature	Y
ishment	20		GARBAGE		FIX	punishment	N
fortv	20	forth,forty	FIX	forty	FIX	forty	Y
joeal	20	joel	NAME	Joel	NAME	Joel	Y
bocly	20	only,body	FIX	only	FIX	body	Y
joval	20	oval,jovial	FIX	oval	FIX	jovial	Y
obtaming	20	obtain,obtaining	FIX	obtaining	FIX	obtaining	Y
fecble-minded	20	feebleminded	FIX	feebleminded	FIX	feeble-minded	Y
saultry	20	sultry	FIX	sultry	FIX	sultry	Y
sults	20	suits,salts	FIX	suits	FIX	results	Y
clusion	20	elusion	FIX	clusion	FIX	conclusion	Y
creden	20	credent	FIX	credent	FIX	credence	Y
licensec	20	license,licensed	FIX	licensec	FIX	licensed	Y
exeeptions	20	exceptions,exemptions	FIX	exceptions	FIX	exceptions	Y
corrugata	20	corrugate	FIX	corrugate	FIX	corrugated	Y
eense	20	sense,cense	FIX	sense	FIX	license	Y
nioney	20	money,nine	FIX	money	FIX	money	Y
carners	20	careers,corners	FIX	corners	FIX	carriers	Y
erage	20	erase,rage	FIX	erase	FIX	average	Y
habihty	20	habits,habit	FIX	habit	FIX	liability	Y
forty-fourtil	20		GARBAGE		GARBAGE		Y
erative	20	elative,ergative	FIX	erative	FIX	operative	Y
oneeighth	20		KEEP	oneeighth	FIX	one-eighth	N
mpose	20	impose,pose	FIX	impose	FIX	impose	Y
beope	20	people,before	FIX	people	FIX	before	Y
fpuled	20	puled,fouled	GARBAGE		GARBAGE		Y
appomtmen	20		GARBAGE		FIX	appointment	N
procharter	20	recharter,trochanter	FIX	recharter	FIX	pro-charter	Y
nondegree	20		GARBAGE		KEEP	nondegree	N
puddingstone	20		NAME	puddingstone	KEEP	puddingstone	N
nonretail	20	nonmetal	GARBAGE		KEEP	nonretail	N
n-acetylanthranilic	20		NAME	n-acetylanthranilic	KEEP	n-acetylanthranilic	N
hydrochlorofluorocarbon	20		NAME	hydrochlorofluorocarbon	KEEP	hydrochlorofluorocarbon	N
nonpotentially	20		GARBAGE		GARBAGE		Y
cmra	20	cara,cora	FIX	cara	GARBAGE		N
eeneeeeeeeees	20		GARBAGE		GARBAGE		Y
eneneeeeereees	20		GARBAGE		GARBAGE		Y
weisenthal	20	wiesenthal	NAME	wiesenthal	NAME	Wiesenthal	Y
kumeyaay	20		NAME	kumeyaay	NAME	Kumeyaay	Y
neneneeee	20		GARBAGE		GARBAGE		Y
lazzaretto	20	lazaretto	FIX	lazaretto	FIX	lazaretto	Y
nelac	20	near,delay	KEEP	nelac	GARBAGE		N
atplao	20	atlas	FIX	atlas	GARBAGE		N
benzilate	20	ventilate,benzoate	FIX	benzoate	FIX	benzoate	Y
noncharter	20	nonstarter	FIX	nonstarter	KEEP	noncharter	N
valleyeast	20		GARBAGE		GARBAGE		Y
kennick	20	kendrick,kenning	NAME	kendrick	NAME	Kennick	Y
talawa	20	tarawa	NAME	tarawa	NAME	Talawa	Y
nonsalary	20		GARBAGE		KEEP	nonsalary	N
penasquitos	20		NAME	penasquitos	NAME	Penasquitos	Y
porter-sesnon	20		NAME	porter-sesnon	NAME	Porter-Sesnon	Y
sbdcs	20	sides,secs	GARBAGE		GARBAGE		Y
hesis	20	hess,thesis	FIX	thesis	FIX	thesis	Y
copermittee	20		GARBAGE		KEEP	co-permittee	N
comsetuction	20		GARBAGE		FIX	construction	N
coowned	20	crowned,clowned	FIX	crowned	FIX	co-owned	Y
cxxvi	19	clavi	GARBAGE		KEEP	cxxvi	N
stanislans	19		GARBAGE		NAME	Stanislaus	N
therco	19	thereof,there	FIX	thereof	FIX	thereof	Y
piumas	19	pumas,pimas	FIX	pumas	NAME	Plumas	N
ployer	19	player,plover	FIX	player	FIX	player	Y
senl	19	sell,seal	FIX	sell	FIX	seal	Y
cxxxix	19		GARBAGE		KEEP	cxxxix	N
clared	19	cared,cleared	FIX	cleared	FIX	declared	Y
ccxi	19	xi,cali	GARBAGE		KEEP	ccxi	N
surn	19	turn,sur	FIX	turn	FIX	turn	Y
cighty-four	19		FIX	eighty-four	FIX	eighty-four	Y
nually	19	dually	FIX	annually	FIX	annually	Y
cxcvi	19	cacti,cocci	GARBAGE		KEEP	cxcvi	N
lecting	19	electing,letting	FIX	electing	FIX	electing	Y
sules	19	rules,sales	FIX	rules	FIX	rules	Y
crar	19	car,char	FIX	car	FIX	car	Y
cntilled	19	untilled	FIX	untilled	FIX	entitled	Y
racts	19	acts,facts	FIX	acts	FIX	acts	Y
neering	19	needing,nearing	FIX	needing	FIX	engineering	Y
umne	19	one,use	FIX	one	NAME	Umne	N
statos	19	states,stats	FIX	states	FIX	states	Y
fiye	19	five,file	FIX	five	FIX	five	Y
eame	19	same,name	FIX	same	FIX	same	Y
oftive	19	office,five	FIX	office	FIX	office	Y
onment	19	intent,consent	FIX	intent	FIX	onment	Y
tinnin	19	tinning,tannin	FIX	tinning	NAME	Tinnin	N
tifieate	19	titivate	FIX	titivate	FIX	certificate	Y
pliance	19	pliancy	GARBAGE		FIX	compliance	N
tutional	19	tuitional	FIX	constitutional	FIX	constitutional	Y
cighty-cight	19		GARBAGE		FIX	eighty-eight	N
didates	19	dilates	FIX	candidates	FIX	candidates	Y
conercte	19	concrete,coerce	FIX	concrete	FIX	concrete	Y
monumented	19	monument,documented	FIX	monumented	FIX	monumented	Y
becorne	19	before,become	FIX	become	FIX	become	Y
earricr	19	carrier,earlier	FIX	earlier	FIX	carrier	Y
onefortieth	19		KEEP	onefortieth	FIX	one-fortieth	N
htigation	19	litigation,mitigation	FIX	litigation	FIX	litigation	Y
xita	19	rita,vita	NAME	rita	NAME	Rita	Y
wuenrgas	19		GARBAGE		GARBAGE		Y
nonrancid	19	nonacid	FIX	nonacid	KEEP	nonrancid	N
honality	19	tonality	GARBAGE		FIX	nationality	N
vearly	19	early,nearly	FIX	early	FIX	yearly	Y
maximuin	19	maximin	FIX	maximum	FIX	maximum	Y
ennum	19	ennui	GARBAGE		FIX	ennui	N
issuecl	19	issued,issue	FIX	issued	FIX	issued	Y
recreationa	19	recreation,recreational	FIX	recreational	FIX	recreational	Y
appheatior	19		GARBAGE		FIX	application	N
nbers	19	numbers,needs	FIX	numbers	FIX	numbers	Y
imtiative	19	imitative	FIX	initiative	FIX	initiative	Y
exudations	19	exudation	FIX	exudation	KEEP	exudations	N
thermalito	19		NAME	thermalito	NAME	Thermalito	Y
nonlicensees	19		KEEP	nonlicensees	KEEP	nonlicensees	Y
desoxyephedrine	19		NAME	desoxyephedrine	KEEP	desoxyephedrine	N
koverman	19	overman	FIX	overman	NAME	Koverman	N
caponette	19	caporetto,wagonette	NAME	Caporetto	GARBAGE		N
britschgi	19		NAME	Britschgi	NAME	Britschgi	Y
short-dovle	19		GARBAGE		NAME	Short-Doyle	N
biscailuz	19		NAME	Biscailuz	NAME	Biscailuz	Y
reinjection	19	reinfection	FIX	reinfection	KEEP	reinjection	N
cceeeeeeeee	19		GARBAGE		GARBAGE		Y
bilhon	19	billon	FIX	billon	FIX	billion	Y
calstart	19		NAME	Calstart	NAME	CalStart	Y
noncharging	19		KEEP	noncharging	KEEP	noncharging	Y
reaqa	19	reata	FIX	reata	GARBAGE		N
misassignments	19		KEEP	misassignments	KEEP	misassignments	Y
ghpp	19	ship,chap	GARBAGE		GARBAGE		Y
ultrapasteurized	19		KEEP	ultrapasteurized	KEEP	ultrapasteurized	Y
administrathot	19	administration,administrator	FIX	administration	FIX	administration	Y
eeeeeeeeeeees	19		GARBAGE		GARBAGE		Y
quiniela	19		NAME	quiniela	KEEP	quiniela	N
ceceeee	18		GARBAGE		GARBAGE		Y
cessive	18	essive	FIX	essive	FIX	excessive	Y
benent	18	benet,bennet	NAME	Benet	FIX	benefit	N
twoyear	18	twofer	KEEP	twoyear	FIX	two-year	N
amonaem	18		GARBAGE		GARBAGE		Y
cxii	18	xi,cali	FIX	xi	KEEP	cxii	N
cxlix	18	calix,cylix	NAME	calix	KEEP	cxlix	N
clxxx	18		KEEP	clxxx	KEEP	clxxx	Y
cxcii	18	cacti,cecil	KEEP	cxcii	KEEP	cxcii	Y
ccxix	18	calix,cylix	KEEP	ccxix	KEEP	ccxix	Y
cclx	18	calx	KEEP	cclx	KEEP	cclx	Y
polltax	18	poleax,pollux	FIX	poll tax	FIX	poll-tax	Y
rolis	18	rolls,solis	FIX	rolls	FIX	rolls	Y
clxvi	18	clavi	KEEP	clxvi	KEEP	clxvi	Y
erento	18	trento	GARBAGE		NAME	Trento	N
eont	18	ont,eon	KEEP	eont	FIX	font	N
proteet	18	protect,protest	FIX	protect	FIX	protect	Y
buve	18	bute	GARBAGE		GARBAGE		Y
alarch	18	larch,anarch	NAME	alarch	FIX	larch	N
acerne	18	accrue,acre	FIX	acre	FIX	accrue	Y
cxxxiv	18		KEEP	cxxxiv	KEEP	cxxxiv	Y
yold	18	sold,hold	FIX	sold	FIX	hold	Y
oilice	18	cilice	GARBAGE		FIX	office	N
facic	18	facia	GARBAGE		FIX	facia	N
saucelito	18		NAME	Sausalito	NAME	Sausalito	Y
crannell	18	cranwell	NAME	Crannell	NAME	Crannell	Y
boncls	18	bonces	FIX	bonces	FIX	bonds	Y
eeeene	18	greene,serene	GARBAGE		GARBAGE		Y
viee	18	vice,view	FIX	vice	FIX	vice	Y
settlors	18	settlor,settlers	FIX	settlors	KEEP	settlors	N
termot	18	termor	GARBAGE		FIX	termor	N
supphed	18	supped	FIX	supped	FIX	supplied	Y
duiy	18	duty,duly	FIX	duty	FIX	duly	Y
leasc	18	least,lease	FIX	lease	FIX	lease	Y
contmued	18	construed,continued	FIX	continued	FIX	continued	Y
perior	18	prior,period	FIX	prior	FIX	prior	Y
fered	18	feed,fred	GARBAGE		FIX	offered	N
mder	18	oder	GARBAGE		FIX	under	N
ihere	18	there,where	FIX	there	FIX	there	Y
iwenty-second	18		GARBAGE		FIX	twenty-second	N
iments	18	aments	GARBAGE		FIX	amendments	N
appropriatec	18	appropriated,appropriate	FIX	appropriate	FIX	appropriated	Y
fessional	18	fusional,passional	GARBAGE		FIX	professional	N
remova	18	removal,remove	FIX	removal	FIX	removal	Y
proamended	18	promenaded	GARBAGE		GARBAGE		Y
dstnets	18	stets,donets	GARBAGE		FIX	districts	N
forty-fipth	18		GARBAGE		FIX	forty-fifth	N
hling	18	fling,cling	FIX	cling	FIX	filing	Y
comphanee	18		GARBAGE		FIX	compliance	N
usive	18	five,use	GARBAGE		FIX	inclusive	N
dumng	18	dung	GARBAGE		FIX	during	N
onstruction	18	construction,instruction	FIX	construction	FIX	construction	Y
wueenreas	18		GARBAGE		GARBAGE		Y
contams	18	contain,contains	FIX	contain	FIX	contains	Y
housmg	18	housing,house	FIX	housing	FIX	housing	Y
specul	18	specula	GARBAGE		FIX	specul	N
hederacea	18		GARBAGE		KEEP	hederacea	N
pubue	18	pub,pursue	GARBAGE		FIX	public	N
threeeighths	18		FIX	three eighths	FIX	three-eighths	Y
pereentum	18		GARBAGE		FIX	percentum	N
retat	18	resat	GARBAGE		GARBAGE		Y
benents	18	bennets	FIX	benefits	FIX	benefits	Y
jacumba	18	macumba	NAME	Jacumba	NAME	Jacumba	Y
undenatured	18	indentured,denatured	FIX	denatured	FIX	undenatured	Y
weitchpec	18		NAME	Weitchpec	NAME	Weitchpec	Y
highty-first	18		FIX	eighty first	FIX	eighty-first	Y
berkemeyer	18		NAME	Berkemeyer	NAME	Berkemeyer	Y
defosset	18	deforest	FIX	deforest	NAME	Deforest	N
suboffices	18	subofficer	FIX	suboffices	KEEP	suboffices	N
rnake	18	snake,rake	FIX	snake	FIX	make	Y
chnic	18	chic,conic	GARBAGE		FIX	ethnic	N
bioanalysts	18	biocatalysts	FIX	bioanalysts	KEEP	bioanalysts	N
cooper-molera	18		NAME	Cooper-Molera	NAME	Cooper-Molera	Y
deanza	18	deana,deanna	NAME	Deanza	NAME	De Anza	Y
nonconsumer	18		KEEP	nonconsumer	KEEP	nonconsumer	Y
subbasins	18	subbases	FIX	subbasins	KEEP	subbasins	N
ehmuinating	18		GARBAGE		FIX	eliminating	N
ocjp	18	oc,cap	GARBAGE		GARBAGE		Y
nontraffic	18		KEEP	nontraffic	KEEP	nontraffic	Y
eeeeeeeeeeeeeeeee	18		GARBAGE		GARBAGE		Y
nondegenerative	18		KEEP	nondegenerative	KEEP	nondegenerative	Y
oshpd	18	shed,shad	NAME	OSHPD	GARBAGE		N
precrisis	18	precises	FIX	precrisis	KEEP	pre-crisis	N
fredonyer	18		GARBAGE		NAME	Fredonyer	N
rerefined	18	redefined	FIX	redefined	FIX	re-refined	Y
ecia	18	elia,aecia	GARBAGE		GARBAGE		Y
structing	17	strutting	GARBAGE		FIX	constructing	N
tablished	17	established,published	FIX	established	FIX	established	Y
erwise	17	revise,wise	FIX	wise	FIX	otherwise	Y
jected	17	ejected,jested	FIX	ejected	FIX	ejected	Y
etion	17	eton	GARBAGE		FIX	section	N
atory	17	tory,story	NAME	story	FIX	mandatory	N
amaavit	17	akvavit,amadavat	GARBAGE		GARBAGE		Y
cxxi	17	xi,cali	KEEP	cxxi	KEEP	cxxi	Y
clxxi	17	clavi	KEEP	clxxi	KEEP	clxxi	Y
cciv	17	coin,acid	KEEP	cciv	KEEP	cciv	Y
cxlv	17	cal,call	KEEP	cxlv	KEEP	cxlv	Y
xcvii	17		KEEP	xcvii	KEEP	xcvii	Y
srcrton	17	sacaton	NAME	sacaton	GARBAGE		N
lxxxvi	17		KEEP	lxxxvi	KEEP	lxxxvi	Y
surveyor-gencral	17		FIX	surveyor general	FIX	surveyor-general	Y
clocted	17	clotted,clocked	FIX	clotted	FIX	elected	Y
byxbee	17	bawbee	NAME	bawbee	NAME	Byxbee	Y
fenee	17	renee,fence	FIX	fence	FIX	fence	Y
aqt	17	at,act	FIX	act	FIX	act	Y
approverl	17	approver	FIX	approver	FIX	approval	Y
clxxvi	17	clavi	KEEP	clxxvi	KEEP	clxxvi	Y
cxcix	17	cecil,calix	NAME	calix	KEEP	cxcix	N
unincor	17	unicorn	FIX	unicorn	FIX	unincorporated	Y
nupa	17	pupa,nipa	GARBAGE		NAME	Nupa	N
necting	17	netting,nesting	FIX	nesting	FIX	connecting	Y
exeepted	17	exempted,excepted	FIX	exempted	FIX	excepted	Y
rorth	17	forth,north	FIX	north	FIX	forth	Y
noder	17	oder,nuder	GARBAGE		GARBAGE		Y
nanees	17	nantes,ranees	GARBAGE		FIX	nances	N
perey	17	perry,prey	NAME	Perry	NAME	Perey	Y
deterinine	17	determine,determining	FIX	determine	FIX	determine	Y
twenty-sizth	17		FIX	twenty-sixth	FIX	twenty-sixth	Y
schomp	17	chomp	FIX	chomp	NAME	Schomp	N
constrnet	17	construed,construct	FIX	construed	FIX	construct	Y
whule	17	while,whole	FIX	while	FIX	while	Y
cxxiv	17		KEEP	cxxiv	KEEP	cxxiv	Y
indebtednesses	17		FIX	indebtednesses	FIX	indebtedness	Y
reasonab	17	reasonable,reason	FIX	reasonable	FIX	reasonable	Y
lavor	17	labor,favor	FIX	labor	FIX	labor	Y
veur	17	veer,eur	GARBAGE		GARBAGE		Y
fiith	17	faith,fifth	FIX	fifth	FIX	fifth	Y
dential	17	dental,denial	FIX	dental	FIX	credential	Y
evurt	17	evert	GARBAGE		FIX	court	N
inelu	17	inlet,inert	GARBAGE		FIX	include	N
prolongated	17	prolongate	FIX	prolongated	FIX	prolonged	Y
laveaga	17	lavage	NAME	Laveaga	NAME	Laveaga	Y
weisbaum	17		NAME	Weisbaum	NAME	Weisbaum	Y
valled	17	called,valley	FIX	called	FIX	called	Y
vlock	17	block,clock	FIX	block	FIX	block	Y
three-cighths	17		GARBAGE		FIX	three-eighths	N
tocal	17	local,total	FIX	local	FIX	local	Y
onetwentieth	17		KEEP	onetwentieth	FIX	one-twentieth	N
euts	17	nuts,cuts	FIX	cuts	FIX	cuts	Y
siens	17	liens,signs	FIX	liens	FIX	liens	Y
siaie	17	state,said	FIX	state	FIX	state	Y
sibility	17	liability,ability	FIX	liability	FIX	liability	Y
rnember	17	member,number	FIX	member	FIX	member	Y
declarec	17	declared,declares	FIX	declared	FIX	declared	Y
ttee	17	tee,tree	KEEP	ttee	FIX	committee	N
meumbent	17	decumbent,recumbent	GARBAGE		FIX	incumbent	N
servec	17	serve,served	FIX	served	FIX	served	Y
tenpoint	17	tenpin,gunpoint	GARBAGE		GARBAGE		Y
toint	17	joint,point	FIX	joint	FIX	joint	Y
plovees	17	plovers	GARBAGE		FIX	employees	N
shaii	17	shari	NAME	shari	FIX	shall	N
istrative	17	isolative,iterative	GARBAGE		FIX	administrative	N
resolut	17	resolute	FIX	resolute	FIX	resolution	Y
prousions	17	profusions,prolusions	GARBAGE		FIX	provisions	N
andriano	17	adrian,adriana	NAME	adriano	NAME	Andriano	Y
mutualized	17	mutualize	FIX	mutualize	KEEP	mutualized	N
lienors	17	minors,liens	FIX	liens	KEEP	lienors	N
register-pajaronian	17		GARBAGE		NAME	Register-Pajaronian	N
guapys	17	grapes,guards	FIX	grapes	GARBAGE		N
calleguas	17		NAME	Calleguas	NAME	Calleguas	Y
sulfomethane	17	sulfonmethane	FIX	sulfonmethane	KEEP	sulfomethane	N
damsites	17	campsites,adamsite	GARBAGE		FIX	dam sites	N
pentemper	17		GARBAGE		GARBAGE		Y
orthoptics	17	orthotics,orthoptic	FIX	orthotics	KEEP	orthoptics	N
nonprinted	17	unprinted	FIX	unprinted	KEEP	nonprinted	N
komandorski	17		NAME	Komandorski	NAME	Komandorski	Y
eeeneeeeees	17		GARBAGE		GARBAGE		Y
noncompacting	17	noncompeting	FIX	noncompeting	KEEP	noncompacting	N
levoalphacetylmethadol	17		GARBAGE		KEEP	levoalphacetylmethadol	N
tetrahydrocannabinols	17	tetrahydrocannabinol	FIX	tetrahydrocannabinol	FIX	tetrahydrocannabinols	Y
glutethimide	17		NAME	glutethimide	KEEP	glutethimide	N
ccccceee	17		GARBAGE		GARBAGE		Y
euthanasic	17	euthanasia	FIX	euthanasia	FIX	euthanasia	Y
busdrivers	17		KEEP	busdrivers	FIX	bus drivers	N
eceeeeeee	17		GARBAGE		GARBAGE		Y
sieroty	17		GARBAGE		GARBAGE		Y
nonsafety	17		GARBAGE		KEEP	nonsafety	N
nonhousing	17	nonplusing	GARBAGE		KEEP	nonhousing	N
levomethorphan	17		NAME	levomethorphan	KEEP	levomethorphan	N
dimethoxy-alpha-methylphenethylamine	17		GARBAGE		KEEP	dimethoxy-alpha-methylphenethylamine	N
entihes	17	entices	FIX	entices	FIX	entities	Y
nonrecyclable	17		KEEP	nonrecyclable	KEEP	nonrecyclable	Y
eeeeeeeeeeeeeeeeee	17		GARBAGE		GARBAGE		Y
nonenterprise	17		FIX	nonenterprise	KEEP	nonenterprise	N
twenty-siath	16		FIX	twenty-sixth	FIX	twenty-sixth	Y
reeeee	16	referee,redeem	GARBAGE		GARBAGE		Y
oné	16	on,one	FIX	one	FIX	one	Y
cxiii	16	chili,chiai	KEEP	cxiii	KEEP	cxiii	Y
cxv	16	cav	KEEP	cxv	KEEP	cxv	Y
cxxxi	16		KEEP	cxxxi	KEEP	cxxxi	Y
sxerion	16	exertion,sermon	FIX	exertion	FIX	exertion	Y
fuing	16	suing,fling	FIX	suing	FIX	suing	Y
ciates	16	crates,cites	FIX	cites	FIX	associates	Y
cxciv	16	cecil	KEEP	cxciv	KEEP	cxciv	Y
cxci	16	xi,cali	KEEP	cxci	KEEP	cxci	Y
cccx	16	cox,coca	KEEP	cccx	KEEP	cccx	Y
eightysix	16		FIX	eightysix	FIX	eighty-six	Y
eccee	16	emcee	FIX	emcee	GARBAGE		N
eenenee	16		GARBAGE		GARBAGE		Y
unap	16	una,nap	FIX	una	GARBAGE		N
suly	16	july,duly	FIX	july	FIX	july	Y
lxxxii	16		KEEP	lxxxii	KEEP	lxxxii	Y
avain	16	again,avail	FIX	again	FIX	again	Y
poace	16	place,peace	FIX	place	FIX	place	Y
luid	16	fluid,luis	FIX	fluid	FIX	fluid	Y
cnable	16	unable,enable	FIX	unable	FIX	enable	Y
turers	16	tubers,curers	FIX	curers	FIX	manufacturers	Y
appropriapriated	16		GARBAGE		FIX	appropriated	N
throo	16	throw,throe	FIX	throw	FIX	through	Y
thorcon	16	thoron	GARBAGE		GARBAGE		Y
sxco	16	such,sec	FIX	such	FIX	such	Y
ceceeeee	16		GARBAGE		GARBAGE		Y
nincty-four	16		FIX	ninety-four	FIX	ninety-four	Y
beerstecher	16		GARBAGE		NAME	Beerstecher	N
clitus	16	coitus	FIX	coitus	GARBAGE		N
coolieism	16	coolies	FIX	coolies	KEEP	coolieism	N
thenre	16	there,thence	FIX	there	FIX	thence	Y
raade	16	reade	FIX	reade	FIX	made	Y
ishable	16	stable,usable	FIX	stable	FIX	publishable	Y
cted	16	cited,acted	FIX	cited	FIX	enacted	Y
eneh	16	neh	KEEP	eneh	GARBAGE		N
munie	16	june,unit	GARBAGE		FIX	muni	N
pubite	16	suite,unite	FIX	suite	FIX	public	Y
biam	16	bias,bim	FIX	bias	FIX	bias	Y
constita	16	constanta	GARBAGE		FIX	constitution	N
buper	16	buyer,super	FIX	super	FIX	super	Y
uccessary	16	accessary	FIX	accessary	FIX	necessary	Y
centuin	16	certain,contain	FIX	certain	FIX	certain	Y
tuolumine	16		NAME	tuolumine	NAME	Tuolumne	Y
